"filename", "language", "Go", "HTML", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_borders.scss", "SCSS", 0, 0, 0, 0, 0, 43, 7, 10, 60
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 1, 4
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_display.scss", "SCSS", 0, 0, 0, 0, 0, 25, 7, 7, 39
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_embed.scss", "SCSS", 0, 0, 0, 0, 0, 44, 1, 8, 53
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_flex.scss", "SCSS", 0, 0, 0, 0, 0, 39, 4, 9, 52
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_float.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 2, 10
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_position.scss", "SCSS", 0, 0, 0, 0, 0, 25, 5, 8, 38
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_screenreaders.scss", "SCSS", 0, 0, 0, 0, 0, 6, 3, 3, 12
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_shadows.scss", "SCSS", 0, 0, 0, 0, 0, 4, 1, 2, 7
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_sizing.scss", "SCSS", 0, 0, 0, 0, 0, 7, 2, 4, 13
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_spacing.scss", "SCSS", 0, 0, 0, 0, 0, 43, 3, 6, 52
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_text.scss", "SCSS", 0, 0, 0, 0, 0, 30, 10, 19, 59
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/1-frameworks/bootstrap/source/utilities/_visibility.scss", "SCSS", 0, 0, 0, 0, 0, 6, 3, 3, 12
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/2-plugins/_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/3-base/_base.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/3-base/_index.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 1, 4
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/3-base/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/3-base/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 7, 5, 12
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/4-modules/_index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1, 2
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_columns.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_containers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_extends.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
